Name,Completion Status,Platforms,Sources
Cardinal Sins,2 - Not Played,WonderSwan,RetroAchievements
Cardpocalypse,2 - Not Played,PC (Windows),Steam
Cards and Castles 2,2 - Not Played,PC (Windows),Steam
Cargo Commander,2 - Not Played,PC (Windows),Steam
Caribbean Jigsaw,6 - No Achievements & Not Interested,PC (Windows),Steam
Carmageddon 64,2 - Not Played,Nintendo 64,RetroAchievements
Carnival,2 - Not Played,Atari 2600,RetroAchievements
Carnival,2 - Not Played,ColecoVision,RetroAchievements
Carnival Games,2 - Not Played,Nintendo DS,RetroAchievements
Carnival Island,2 - Not Played,PlayStation 3,Standalone
Carnivores HD,2 - Not Played,PlayStation 3,Standalone
Carnivores: Dinosaur Hunter,2 - Not Played,PlayStation Portable,RetroAchievements
Carnivores: Ice Age,2 - Not Played,PlayStation Portable,RetroAchievements
"Carol Vorderman's Sudoku",2 - Not Played,PlayStation 2,RetroAchievements
Carpe Diem,2 - Not Played,PC (Windows),Steam
Carrier,2 - Not Played,Watara Supervision,RetroAchievements
CARRION,2 - Not Played,PC (Windows),Steam
Carrot Girl Adventures,7 - Cannot Play,PC (Windows),Steam
Cars,2 - Not Played,Game Boy Advance,RetroAchievements
Cars 2,2 - Not Played,PlayStation 3,Standalone
Cars 3: Driven to Win,2 - Not Played,PlayStation 3,Standalone
Cars: Mater-National Championship,2 - Not Played,Game Boy Advance,RetroAchievements
Cars: Mater-National Championship,2 - Not Played,PlayStation 2,RetroAchievements
Cars: Race-O-Rama,2 - Not Played,PlayStation 3,Standalone
Carto,5 - Mastered,PC (Windows),Steam
Cartoon Network Punch Time Explosion XL,2 - Not Played,PlayStation 3,Standalone
Cartoon Network Punch Time Explosion XL (EU),2 - Not Played,PlayStation 3,Standalone
Cartoon Network Racing,2 - Not Played,Nintendo DS,RetroAchievements
Cartoon Network Speedway,2 - Not Played,Game Boy Advance,RetroAchievements
Cartoon Strike,2 - Not Played,PC (Windows),Steam
Cash Quiz,2 - Not Played,Arcade,RetroAchievements
Casino Kid,2 - Not Played,NES/Famicom,RetroAchievements
Casino Kid 2,2 - Not Played,NES/Famicom,RetroAchievements
Casper,2 - Not Played,Game Boy,RetroAchievements
Casper: Friends Around the World,2 - Not Played,PlayStation,RetroAchievements
Cassette Beasts,2 - Not Played,PC (Windows),Steam
Cast of the Seven Godsends: Redux,2 - Not Played,PC (Windows),Steam
Castelo Ra-Tim-Bum,2 - Not Played,Master System,RetroAchievements
Castle Break,2 - Not Played,PC (Windows),Steam
Castle Crashers,2 - Not Played,PC (Windows),Steam
Castle Crashers,2 - Not Played,PlayStation 3,Standalone
Castle Invasion: Throne Out,2 - Not Played,PlayStation Vita,Standalone
Castle Morihisa,2 - Not Played,PC (Windows),Steam
Castle of Illusion,2 - Not Played,PC (Windows),Steam
Castle of Illusion starring Mickey Mouse,2 - Not Played,Master System,RetroAchievements
Castle of Illusion starring Mickey Mouse,2 - Not Played,Genesis/Mega Drive,RetroAchievements
Castle of Illusion Starring Mickey Mouse,2 - Not Played,PlayStation 3,Standalone
Castle of secrets: Prologue,2 - Not Played,PC (Windows),Steam
Castle of Shikigami,2 - Not Played,PC (Windows),Steam
Castle on the Coast,2 - Not Played,PC (Windows),Steam
Castle Wolfenstein,2 - Not Played,Apple II,RetroAchievements
Castle Woodwarf,2 - Not Played,PC (Windows),Steam
CastleBoy,2 - Not Played,Arduboy,RetroAchievements
Castlequest,2 - Not Played,NES/Famicom,RetroAchievements
CastleStorm,2 - Not Played,PlayStation Vita,Standalone
CastleStorm,2 - Not Played,PlayStation 3,Standalone
Castlevania,2 - Not Played,Nintendo 64,RetroAchievements
Castlevania,2 - Not Played,NES/Famicom,RetroAchievements
Castlevania [Subset - Bonus],2 - Not Played,NES/Famicom,RetroAchievements
Castlevania Advance Collection,4 - Beaten,PC (Windows),Steam
Castlevania Anniversary Collection,3 - Tried,PC (Windows),Steam
Castlevania Dominus Collection,2 - Not Played,PC (Windows),Steam
"Castlevania II: Belmont's Revenge",2 - Not Played,Game Boy,RetroAchievements
"Castlevania II: Simon's Quest",2 - Not Played,NES/Famicom,RetroAchievements
"Castlevania II: Simon's Quest [Subset - Bonus]",2 - Not Played,NES/Famicom,RetroAchievements
"Castlevania III: Dracula's Curse",2 - Not Played,NES/Famicom,RetroAchievements
Castlevania Legends,2 - Not Played,Game Boy,RetroAchievements
Castlevania Lords of Shadow,2 - Not Played,PlayStation 3,Standalone
Castlevania: Aria of Sorrow,2 - Not Played,Game Boy Advance,RetroAchievements
Castlevania: Aria of Sorrow [Subset - Bonus],2 - Not Played,Game Boy Advance,RetroAchievements
Castlevania: Aria of Sorrow [Subset - NOSOUL/NOUSE],2 - Not Played,Game Boy Advance,RetroAchievements
Castlevania: Bloodlines,2 - Not Played,Genesis/Mega Drive,RetroAchievements
Castlevania: Chronicles,2 - Not Played,PlayStation,RetroAchievements
Castlevania: Circle of the Moon,2 - Not Played,Game Boy Advance,RetroAchievements
Castlevania: Curse of Darkness,2 - Not Played,PlayStation 2,RetroAchievements
Castlevania: Dawn of Sorrow,2 - Not Played,Nintendo DS,RetroAchievements
"Castlevania: Dracula X | Castlevania: Vampire's Kiss",2 - Not Played,SNES/Super Famicom,RetroAchievements
Castlevania: Harmony of Despair,2 - Not Played,PlayStation 3,Standalone
Castlevania: Harmony of Dissonance,2 - Not Played,Game Boy Advance,RetroAchievements
Castlevania: Lament of Innocence,2 - Not Played,PlayStation 2,RetroAchievements
Castlevania: Legacy of Darkness,2 - Not Played,Nintendo 64,RetroAchievements
Castlevania: Lords of Shadow - Mirror of Fate HD,2 - Not Played,PlayStation 3,Standalone
Castlevania: Lords of Shadow – Mirror of Fate HD,2 - Not Played,PC (Windows),Steam
Castlevania: Lords of Shadow - Ultimate Edition,2 - Not Played,PC (Windows),Steam
Castlevania: Lords of Shadow 2,2 - Not Played,PlayStation 3,Standalone
Castlevania: Lords of Shadow 2,2 - Not Played,PC (Windows),Steam
Castlevania: Order of Ecclesia,2 - Not Played,Nintendo DS,RetroAchievements
Castlevania: Portrait of Ruin,2 - Not Played,Nintendo DS,RetroAchievements
Castlevania: Symphony of the Night,2 - Not Played,PlayStation,RetroAchievements
Castlevania: The Adventure,2 - Not Played,Game Boy,RetroAchievements
Castlevania: The Dracula X Chronicles,2 - Not Played,PlayStation Portable,RetroAchievements
Cat Cafe Manager,2 - Not Played,PC (Windows),Steam
Cat Lady: The Card Game,2 - Not Played,PC (Windows),Steam
Cat or Bread?,2 - Not Played,PC (Windows),Steam
Cat Quest,4 - Beaten,PC (Windows),Steam
Cat Quest II,2 - Not Played,PC (Windows),Steam
Cat Slide Tiles,2 - Not Played,PC (Windows),Steam
Cat Trax,2 - Not Played,Arcadia 2001,RetroAchievements
Catacombs of the Damned,2 - Not Played,Arduboy,RetroAchievements
Catan,2 - Not Played,Nintendo DS,RetroAchievements
Catan Universe,2 - Not Played,PC (Windows),Steam
"Catan's",2 - Not Played,PlayStation 3,Standalone
Catapult,2 - Not Played,Elektor TV Games Computer,RetroAchievements
Cate West: The Vanishing Files,2 - Not Played,Nintendo DS,RetroAchievements
Caterpillar Construction Zone,2 - Not Played,Game Boy Color,RetroAchievements
Caterpillar Construction Zone [Subset - Speedrun],2 - Not Played,Game Boy Color,RetroAchievements
Cathedral,2 - Not Played,PC (Windows),Steam
CATHERINE,2 - Not Played,PlayStation 3,Standalone
Catherine Classic,4 - Beaten,PC (Windows),Steam
Catie in MeowmeowLand,2 - Not Played,PC (Windows),Steam
Catizens,2 - Not Played,PC (Windows),Steam
Catmaze,2 - Not Played,PC (Windows),Steam
Catrap | Pitman,2 - Not Played,Game Boy,RetroAchievements
Cats,2 - Not Played,PC (Windows),Steam
Cats and Seek : Kyoto,2 - Not Played,PC (Windows),Steam
Cats and Seek: Osaka,5 - Mastered,PC (Windows),Steam
Cats Hidden in Bali,5 - Mastered,PC (Windows),Steam
Cats Hidden in Georgia,5 - Mastered,PC (Windows),Steam
Cats Hidden in Italy,5 - Mastered,PC (Windows),Steam
Cats Hidden in Jingle Jam,5 - Mastered,PC (Windows),Steam
Cats Hidden in Maple Hollow,5 - Mastered,PC (Windows),Steam
Cats Hidden in Paris,5 - Mastered,PC (Windows),Steam
Cats in Time,2 - Not Played,PC (Windows),Steam
Cats of the Song Dynasty,2 - Not Played,PC (Windows),Steam
Cats Organized Neatly,2 - Not Played,PC (Windows),Steam
Cats War,6 - No Achievements & Not Interested,PC (Windows),Steam
CatsBlock Vestival,2 - Not Played,PlayStation Vita,Standalone
Cattails,2 - Not Played,PC (Windows),Steam
Cattails: Wildwood Story,2 - Not Played,PC (Windows),Steam
Catto Pew Pew!,2 - Not Played,PC (Windows),Steam
Catwoman,2 - Not Played,Game Boy Color,RetroAchievements
Catz: Your Virtual Petz Palz,2 - Not Played,Game Boy Color,RetroAchievements
Cauldron,2 - Not Played,Amstrad CPC,RetroAchievements
Cauldron II: The Pumpkin Strikes Back,2 - Not Played,Amstrad CPC,RetroAchievements
"Causa, Voices of the Dusk",6 - No Achievements & Not Interested,PC (Windows),Steam
Cave Crawler,5 - Mastered,PC (Windows),Steam
Cave Crawlers,2 - Not Played,PC (Windows),Steam
Cave Heroes,2 - Not Played,PC (Windows),Steam
Cave Noire,2 - Not Played,Game Boy,RetroAchievements
Cave Story,2 - Not Played,Nintendo DSi,RetroAchievements
Cave Story+,4 - Beaten,PC (Windows),Steam
"Cave Story's Secret Santa",2 - Not Played,PC (Windows),Steam
Cave Wonders,2 - Not Played,Watara Supervision,RetroAchievements
Caveblazers,2 - Not Played,PC (Windows),Steam
Cavegirl Adventures,2 - Not Played,PC (Windows),Steam
Caveman Games,2 - Not Played,NES/Famicom,RetroAchievements
Cavera - The Island of Apes,2 - Not Played,PC (Windows),Steam
Cavern Escape,2 - Not Played,PC (Windows),Steam
Cavity Busters,2 - Not Played,PC (Windows),Steam
CBT With Yuuka Kazami,6 - No Achievements & Not Interested,PC (Windows),Steam
Ceiling Zero,2 - Not Played,Apple II,RetroAchievements
Cel Damage HD,2 - Not Played,PlayStation 3,Standalone
Cel Damage HD,2 - Not Played,PlayStation Vita,Standalone
Cel Damage Overdrive,2 - Not Played,PlayStation 2,RetroAchievements
Celeste,5 - Mastered,PC (Windows),Steam
"Celia's Quest",2 - Not Played,PC (Windows),Steam
Cell to Singularity - Evolution Never Ends,2 - Not Played,PC (Windows),Steam
Cellfactor Psychokinetic Wars,2 - Not Played,PlayStation 3,Standalone
Cemetery Mary,2 - Not Played,PC (Windows),Steam
Center Ring Boxing,2 - Not Played,Saturn,RetroAchievements
Centipede,2 - Not Played,Atari 2600,RetroAchievements
Centipede,2 - Not Played,Game Boy Color,RetroAchievements
Centipede,2 - Not Played,Arcade,RetroAchievements
Centralia: Homecoming,2 - Not Played,PC (Windows),Steam
Century: Age of Ashes,2 - Not Played,PC (Windows),Steam
Cepheus Protocol,2 - Not Played,PC (Windows),Steam
Cepheus Protocol,2 - Not Played,PC (Windows),Steam
Ceville,6 - No Achievements & Not Interested,PC (Windows),Steam
"Chack'n Pop",2 - Not Played,SG-1000,RetroAchievements
Chained Echoes,2 - Not Played,PC (Windows),Steam
Chained Together,2 - Not Played,PC (Windows),Steam
Chair Simulator,2 - Not Played,PC (Windows),Steam
Chakan: The Forever Man,2 - Not Played,Genesis/Mega Drive,RetroAchievements
Challenger,2 - Not Played,NES/Famicom,RetroAchievements
Challenger Tank,2 - Not Played,Watara Supervision,RetroAchievements
Chambers of Devious Design,2 - Not Played,PC (Windows),Steam
Chambers: The Outlaw,2 - Not Played,PC (Windows),Steam
Chameleon Twist,2 - Not Played,Nintendo 64,RetroAchievements
Chameleon Twist 2,2 - Not Played,Nintendo 64,RetroAchievements
Champion Baseball,2 - Not Played,SG-1000,RetroAchievements
Champion Billiards,2 - Not Played,SG-1000,RetroAchievements
Champion Boxing,2 - Not Played,SG-1000,RetroAchievements
Champion Golf,2 - Not Played,SG-1000,RetroAchievements
Champion Ice Hockey,2 - Not Played,SG-1000,RetroAchievements
Champion Jockey: Gallop Racer & G1 Jockey,2 - Not Played,PlayStation 3,Standalone
Champion Kendou,2 - Not Played,SG-1000,RetroAchievements
Champion Pro Wrestling,2 - Not Played,SG-1000,RetroAchievements
Champion Soccer,2 - Not Played,SG-1000,RetroAchievements
Champion Tennis,2 - Not Played,SG-1000,RetroAchievements
Champions of Norrath,2 - Not Played,PlayStation 2,RetroAchievements
Championship Bowling,2 - Not Played,NES/Famicom,RetroAchievements
Championship Lode Runner,2 - Not Played,SG-1000,RetroAchievements
CHANGE: A Homeless Survival Experience,2 - Not Played,PC (Windows),Steam
Chaos Code: New Sign of Catastrophe,2 - Not Played,PC (Windows),Steam
Chaos Legion,2 - Not Played,PlayStation 2,RetroAchievements
Chaos on Deponia,2 - Not Played,PC (Windows),Steam
CHAOS RINGS Ⅲ Prequel Trilogy,2 - Not Played,PlayStation Vita,Standalone
Chaos Seed: Fuusui Kairoki,2 - Not Played,SNES/Super Famicom,RetroAchievements
CHAOS;CHILD,2 - Not Played,PlayStation Vita,Standalone
CHAOS;CHILD,2 - Not Played,PlayStation 3,Standalone
CHAOS;CHILD らぶchu☆chu!!,2 - Not Played,PlayStation Vita,Standalone
CHAOS;HEAD NOAH,2 - Not Played,PlayStation 3,Standalone
CHAOS;HEAD NOAH,2 - Not Played,PlayStation Vita,Standalone
CHAOS;HEAD らぶChu☆Chu!,2 - Not Played,PlayStation Vita,Standalone
CHAOS;HEAD らぶChu☆Chu!,2 - Not Played,PlayStation 3,Standalone
ChaosCode,2 - Not Played,PlayStation 3,Standalone
Chaotic: Shadow Warriors,2 - Not Played,PlayStation 3,Standalone
CharadeManiacs,2 - Not Played,PlayStation Vita,Standalone
Chariot,2 - Not Played,PC (Windows),Steam
Chariot,2 - Not Played,PlayStation 3,Standalone
Charlie and the Chocolate Factory,2 - Not Played,PlayStation 2,RetroAchievements
Charlie Blasts Territory,2 - Not Played,Nintendo 64,RetroAchievements
"Charlie's Adventure",4 - Beaten,PC (Windows),Steam
"Charlie's Angels",2 - Not Played,GameCube,RetroAchievements
Charterstone: Digital Edition,2 - Not Played,PC (Windows),Steam
Chase H.Q.,2 - Not Played,Game Boy,RetroAchievements
Chase H.Q. II | Super H.Q.,2 - Not Played,Genesis/Mega Drive,RetroAchievements
Chasm,2 - Not Played,PlayStation Vita,Standalone
Chasm,2 - Not Played,PC (Windows),Steam
Checkered Flag,2 - Not Played,Atari Lynx,RetroAchievements
Checkers,2 - Not Played,Intellivision,RetroAchievements
Cheer We Go,2 - Not Played,Nintendo DS,RetroAchievements
Cheese Game,2 - Not Played,PC (Windows),Steam
Chef,2 - Not Played,PC (Windows),Steam
Chenso Club,2 - Not Played,PC (Windows),Steam
Chess Brain,2 - Not Played,PC (Windows),Steam
Chess Brain: Dark Troops,2 - Not Played,PC (Windows),Steam
Chess Evolved Online,2 - Not Played,PC (Windows),Steam
Chess Knights: High Noon,2 - Not Played,PC (Windows),Steam
Chess Survivors,2 - Not Played,PC (Windows),Steam
Chess Ultra,2 - Not Played,PC (Windows),Steam
"Chess'Extra",2 - Not Played,PC (Windows),Steam
Chester Cheetah: Too Cool to Fool,2 - Not Played,SNES/Super Famicom,RetroAchievements
"Chests, City, Clicker",2 - Not Played,PC (Windows),Steam
Chew Man Fu,2 - Not Played,PC Engine/TurboGrafx-16,RetroAchievements
Chex Quest HD,4 - Beaten,PC (Windows),Steam
Chibi-Robo!,2 - Not Played,GameCube,RetroAchievements
Chibi-Robo!: Park Patrol,2 - Not Played,Nintendo DS,RetroAchievements
Chicago 1930,2 - Not Played,PC (Windows),Steam
Chicken Assassin: Reloaded,2 - Not Played,PC (Windows),Steam
Chicken Fight,2 - Not Played,PC (Windows),Steam
Chicken Invaders 2: The Next Wave,4 - Beaten,PC (Windows),Steam
Chicken Invaders 3,2 - Not Played,PC (Windows),Steam
Chicken Invaders 4,4 - Beaten,PC (Windows),Steam
Chicken Invaders 5: Cluck of the Dark Side,2 - Not Played,PC (Windows),Steam
Chicken Invaders Universe,2 - Not Played,PC (Windows),Steam
Chicken Labyrinth Puzzles,2 - Not Played,PC (Windows),Steam
Chicken Little,2 - Not Played,Game Boy Advance,RetroAchievements
Chicken Little,2 - Not Played,PlayStation 2,RetroAchievements
Chicken Police,2 - Not Played,PC (Windows),Steam
Chicken Range,2 - Not Played,PlayStation Vita,Standalone
Chicken Run,2 - Not Played,Dreamcast,RetroAchievements
Chicken Run,2 - Not Played,PlayStation,RetroAchievements
Chicken Run,2 - Not Played,Game Boy Color,RetroAchievements
Chickens In Choppers,2 - Not Played,Uzebox,RetroAchievements
Chiki Chiki Boys,2 - Not Played,Genesis/Mega Drive,RetroAchievements
Chikyuu Kaihou Gun ZAS,2 - Not Played,Game Boy,RetroAchievements
Child of Eden,2 - Not Played,PlayStation 3,Standalone
Child of Light,2 - Not Played,PlayStation Vita,Standalone
Child of Light,2 - Not Played,PlayStation 3,Standalone
Child of Light,2 - Not Played,PC (Windows),Steam
Children of Morta,2 - Not Played,PC (Windows),Steam
Children of Silentown,2 - Not Played,PC (Windows),Steam
Children of Silentown: Prologue,2 - Not Played,PC (Windows),Steam
Children of the Nile,2 - Not Played,PC (Windows),Steam
Children of the Nile: Alexandria,2 - Not Played,PC (Windows),Steam
Chill Corner,4 - Beaten,PC (Windows),Steam
Chiller,2 - Not Played,Arcade,RetroAchievements
Chillquarium,2 - Not Played,PC (Windows),Steam
Chime Super Deluxe,2 - Not Played,PlayStation 3,Standalone
Chimera,2 - Not Played,Watara Supervision,RetroAchievements
Chimeraland,2 - Not Played,PC (Windows),Steam
China Warrior | The Kung Fu,2 - Not Played,PC Engine/TurboGrafx-16,RetroAchievements
Chinese Checkers,2 - Not Played,Watara Supervision,RetroAchievements
Chinese Paladin：Sword and Fairy 6,2 - Not Played,PC (Windows),Steam
Chionophile,2 - Not Played,PC (Windows),Steam
"Chip 'n Dale: Rescue Rangers",2 - Not Played,NES/Famicom,RetroAchievements
"Chip 'n Dale: Rescue Rangers 2",2 - Not Played,NES/Famicom,RetroAchievements
Chip-chan Kick!,2 - Not Played,PC-FX,RetroAchievements
"Chip's Challenge",2 - Not Played,Atari Lynx,RetroAchievements
"Chip's Challenge 1",2 - Not Played,PC (Windows),Steam
Chivalry 2,2 - Not Played,PC (Windows),Steam
Chivalry: Medieval Warfare,2 - Not Played,PlayStation 3,Standalone
Cho Aniki,2 - Not Played,PC Engine CD/TurboGrafx-CD,RetroAchievements
Cho Aniki Zero: Muscle Brothers,2 - Not Played,PlayStation Portable,RetroAchievements
Chocobo Land: A Game of Dice,2 - Not Played,Game Boy Advance,RetroAchievements
"Chocobo no Fushigi na Dungeon | Chocobo's Dungeon",2 - Not Played,PlayStation,RetroAchievements
Chocobo Racing,2 - Not Played,PlayStation,RetroAchievements
"Chocobo's Dungeon 2",2 - Not Played,PlayStation,RetroAchievements
"Chocobo's Dungeon for WonderSwan",2 - Not Played,WonderSwan,RetroAchievements
Choo Choo Survivor,2 - Not Played,PC (Windows),Steam
Chop Goblins,2 - Not Played,PC (Windows),Steam
Choplifter,2 - Not Played,SG-1000,RetroAchievements
Choplifter,2 - Not Played,Master System,RetroAchievements
Choplifter HD,2 - Not Played,PlayStation 3,Standalone
Choplifter III,2 - Not Played,SNES/Super Famicom,RetroAchievements
Choplifter!,2 - Not Played,Atari 7800,RetroAchievements
Chopper Command,2 - Not Played,Atari 2600,RetroAchievements
Choro Q,2 - Not Played,MSX,RetroAchievements
Choro Q | Penny Racers,2 - Not Played,PlayStation,RetroAchievements
Choro Q 2,2 - Not Played,PlayStation,RetroAchievements
Choro Q 3,2 - Not Played,PlayStation,RetroAchievements
Choro Q Advance 2 | Road Trip: Shifting Gears | Gadget Racers,2 - Not Played,Game Boy Advance,RetroAchievements
Choro Q HG2 | Road Trip | Road Trip Adventure,2 - Not Played,PlayStation 2,RetroAchievements
Choro Q Wonderful!,2 - Not Played,PlayStation,RetroAchievements
Chorus,2 - Not Played,PC (Windows),Steam
Chou Aniki: Bakuretsu Rantou Hen,2 - Not Played,SNES/Super Famicom,RetroAchievements
Chou Fuyuu Yousai Exed Exes,2 - Not Played,NES/Famicom,RetroAchievements
Chou Jikuu Yousai Macross 2036,2 - Not Played,PC Engine CD/TurboGrafx-CD,RetroAchievements
Chou Jikuu Yousai Macross: Eien no Love Song,2 - Not Played,PC Engine CD/TurboGrafx-CD,RetroAchievements
Chou no Doku Hana no Kusari - Taisho Tsuyakoi Ibun | 蝶の毒 華の鎖～大正艶恋異聞～ • JP,2 - Not Played,PlayStation Vita,Standalone
Choujikuu Yousai Macross: Scrambled Valkyrie,2 - Not Played,SNES/Super Famicom,RetroAchievements
Choujin Heiki Zeroigar,2 - Not Played,PC-FX,RetroAchievements
Choujin Sentai Jetman,2 - Not Played,NES/Famicom,RetroAchievements
Chri-Bocchi Cat,5 - Mastered,Arduboy,RetroAchievements
Christmas Griddlers,6 - No Achievements & Not Interested,PC (Windows),Steam
Christmas Griddlers Journey to Santa,6 - No Achievements & Not Interested,PC (Windows),Steam
Christmas Mahjong,6 - No Achievements & Not Interested,PC (Windows),Steam
Christmas Mahjong 2,6 - No Achievements & Not Interested,PC (Windows),Steam
Christmas Mosaic Puzzle,6 - No Achievements & Not Interested,PC (Windows),Steam
Christmas Patchwork Frozen,6 - No Achievements & Not Interested,PC (Windows),Steam
Christmas With My Family - Jigsaw Puzzle,4 - Beaten,PC (Windows),Steam
Chroma Squad,2 - Not Played,PC (Windows),Steam
ChromaGun,2 - Not Played,PC (Windows),Steam
Chronicle of the Radia War | Radia Senki: Reimei Hen,2 - Not Played,NES/Famicom,RetroAchievements
Chronicles of Magic: Divided Kingdoms,2 - Not Played,PC (Windows),Steam
Chronicles of the Witches and Warlocks,2 - Not Played,PC (Windows),Steam
Chronicon,2 - Not Played,PC (Windows),Steam
Chrono Cross,2 - Not Played,PlayStation,RetroAchievements
CHRONO CROSS: THE RADICAL DREAMERS EDITION,2 - Not Played,PC (Windows),Steam
Chrono Trigger,2 - Not Played,PC (Windows),Steam
Chrono Trigger,2 - Not Played,SNES/Super Famicom,RetroAchievements
Chrono Trigger,2 - Not Played,Nintendo DS,RetroAchievements
Chrono Trigger [Subset - No Level-Up],2 - Not Played,Nintendo DS,RetroAchievements
Chronology,6 - No Achievements & Not Interested,PC (Windows),Steam
Chronovolt,2 - Not Played,PlayStation Vita,Standalone
Chronus Arc,2 - Not Played,PlayStation Vita,Standalone
Chubby Cherub | Obake no Q Tarou: Wanwan Panic,2 - Not Played,NES/Famicom,RetroAchievements
ChuChu Rocket!,2 - Not Played,Dreamcast,RetroAchievements
ChuChu Rocket!,2 - Not Played,Game Boy Advance,RetroAchievements
Chuck Rock,2 - Not Played,SNES/Super Famicom,RetroAchievements
Chuck Rock,2 - Not Played,Game Gear,RetroAchievements
Chuck Rock,2 - Not Played,Genesis/Mega Drive,RetroAchievements
Chuck Rock II: Son of Chuck,2 - Not Played,Genesis/Mega Drive,RetroAchievements
Chulip,2 - Not Played,PlayStation 2,RetroAchievements
ChuSingura46+1 -忠臣蔵46+1- V,2 - Not Played,PlayStation Vita,Standalone
Chuzzle Deluxe,4 - Beaten,PC (Windows),Steam
CIMA: The Enemy,2 - Not Played,Game Boy Advance,RetroAchievements
Cinderella Phenomenon,2 - Not Played,PC (Windows),Steam
Cinemoji: Series,2 - Not Played,PC (Windows),Steam
Cinnamoroll: Koko ni Iru yo,2 - Not Played,Game Boy Advance,RetroAchievements
Circle Empires,2 - Not Played,PC (Windows),Steam
Circle of Sumo: Online Rumble!,2 - Not Played,PC (Windows),Steam
Circle Up,2 - Not Played,PC (Windows),Steam
Circuit Dude,2 - Not Played,Arduboy,RetroAchievements
Circuit Puzzle,2 - Not Played,Uzebox,RetroAchievements
Circus,2 - Not Played,Interton VC 4000,RetroAchievements
Circus Atari,2 - Not Played,Atari 2600,RetroAchievements
Circus Charlie,2 - Not Played,NES/Famicom,RetroAchievements
Citadels,2 - Not Played,PC (Windows),Steam
Cities: Skylines,2 - Not Played,PC (Windows),Steam
Citizen Sleeper,2 - Not Played,PC (Windows),Steam
Citizens of Earth,2 - Not Played,PlayStation Vita,Standalone
Citizens: Far Lands - Prologue,2 - Not Played,PC (Windows),Steam
City Connection,2 - Not Played,NES/Famicom,RetroAchievements
City Crisis,2 - Not Played,PlayStation 2,RetroAchievements
City idle,6 - No Achievements & Not Interested,PC (Windows),Steam
City of Beats,2 - Not Played,PC (Windows),Steam
City Siege: Faction Island,2 - Not Played,PC (Windows),Steam
Citywars Tower Defense,2 - Not Played,PC (Windows),Steam
CivCity: Rome,2 - Not Played,PC (Windows),Steam
Civilization Revolution 2 Plus,2 - Not Played,PlayStation Vita,Standalone
Cladun Returns: This is Sengoku!,2 - Not Played,PlayStation Vita,Standalone
Cladun: This Is An RPG,2 - Not Played,PlayStation Portable,RetroAchievements
Claire,2 - Not Played,PlayStation Vita,Standalone
CLANNAD,2 - Not Played,PlayStation Vita,Standalone
CLANNAD,2 - Not Played,PC (Windows),Steam
CLANNAD,2 - Not Played,PlayStation 3,Standalone
CLANNAD Side Stories,2 - Not Played,PC (Windows),Steam
Clap Clap,2 - Not Played,PC (Windows),Steam
Clash at Demonhead,2 - Not Played,NES/Famicom,RetroAchievements
CLASH OF THE TITANS,2 - Not Played,PlayStation 3,Standalone
Clash: Artifacts of Chaos,2 - Not Played,PC (Windows),Steam
Class of Heroes 2G,2 - Not Played,PlayStation 3,Standalone
Class Reunion Chat Room,2 - Not Played,PC (Windows),Steam
Classic Casino,2 - Not Played,Watara Supervision,RetroAchievements
Classic Marathon,2 - Not Played,PC (Windows),Steam
Classic Marathon 2,2 - Not Played,PC (Windows),Steam
Classic NES Series: Castlevania,2 - Not Played,Game Boy Advance,RetroAchievements
Classic NES Series: Donkey Kong,2 - Not Played,Game Boy Advance,RetroAchievements
Classic NES Series: Excitebike,2 - Not Played,Game Boy Advance,RetroAchievements
Classic NES Series: Metroid,3 - Tried,Game Boy Advance,RetroAchievements
Classic NES Series: Super Mario Bros.,2 - Not Played,Game Boy Advance,RetroAchievements
Classic NES Series: The Legend of Zelda,2 - Not Played,Game Boy Advance,RetroAchievements
Classic NES Series: Zelda II: The Adventure of Link,2 - Not Played,Game Boy Advance,RetroAchievements
Clay Fighter,2 - Not Played,SNES/Super Famicom,RetroAchievements
Clay Fighter 2: Judgment Clay,2 - Not Played,SNES/Super Famicom,RetroAchievements
Clay Fighter 63 1/3,2 - Not Played,Nintendo 64,RetroAchievements
"Clay Fighter: Sculptor's Cut",2 - Not Played,Nintendo 64,RetroAchievements
Clean Sweep,2 - Not Played,Vectrex,RetroAchievements
ClearIt 13,2 - Not Played,PC (Windows),Steam
Cleopatra Fortune,2 - Not Played,Saturn,RetroAchievements
Cleopatra Fortune,2 - Not Played,Arcade,RetroAchievements
Click Click Dig: Prologue,2 - Not Played,PC (Windows),Steam
click to ten,6 - No Achievements & Not Interested,PC (Windows),Steam
Clicker Heroes,2 - Not Played,PC (Windows),Steam
Climber,2 - Not Played,Watara Supervision,RetroAchievements
Clock Tower,2 - Not Played,SNES/Super Famicom,RetroAchievements
Clock Tower | Clock Tower 2,2 - Not Played,PlayStation,RetroAchievements
Clock Tower 3,2 - Not Played,PlayStation 2,RetroAchievements
Clock Tower: The First Fear,2 - Not Played,PlayStation,RetroAchievements
CLOCK ZERO ～終焉の一秒～ ExTime,2 - Not Played,PlayStation Vita,Standalone
Clockwork Calamity in Mushroom World: What would you do if the time stopped ticking?,2 - Not Played,PC (Windows),Steam
Clockwork Knight,2 - Not Played,Saturn,RetroAchievements
Clockwork Tales: Of Glass and Ink,2 - Not Played,PC (Windows),Steam
Clone Drone in the Danger Zone,2 - Not Played,PC (Windows),Steam
