Name,Completion Status,Platforms,Sources
~Hack~ 20 Challenges: Episode 2 - Witchcraft,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ 2Kaizo2Learn,2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ 2nd Super Super Mario Land, The",2 - Not Played,Game Boy,RetroAchievements
~Hack~ 3 Islands of Shell,2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ 3 Lost Challenges, The",2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ 7th Annual Vanilla Level Design Contest, The",2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ 9th Annual Vanilla Level Design Contest,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ A Grand Day Out,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ A Haunted Christmas,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ A Rushed Project,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Advanced Shells,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Advanced Shells II,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Advanced Shells III,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Akogare Mario World Deluxe,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Alex Kidd 3: Curse in Miracle World,2 - Not Played,Master System,RetroAchievements
~Hack~ All Bosses,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ All Star Adventure: Extreme Edition,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Amy Rose in Sonic the Hedgehog,2 - Not Played,Genesis/Mega Drive,RetroAchievements
~Hack~ Amy Rose in Sonic the Hedgehog 2,2 - Not Played,Genesis/Mega Drive,RetroAchievements
~Hack~ Andaron Saga,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Andaron Saga [Subset - Secret Hunt],2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Andaron Saga: Randomizer,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Angry Birds,2 - Not Played,NES/Famicom,RetroAchievements
~Hack~ Another Boss Battle Test,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Another Mario Adventure,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Another Mario World,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Another Super Mario 3D,2 - Not Played,Nintendo DS,RetroAchievements
~Hack~ Antinomia: Final Fantasy VI,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Arcana: Seal of Rimsala,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Arkanoid: Amiga Alternate Levels,2 - Not Played,NES/Famicom,RetroAchievements
"~Hack~ Arthurtilly's 2nd Hacking Competition: Mario Odyssey",2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ B3313 | Super Mario 64: Internal Plexus (v0.7),2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Baby Kaizo World,2 - Not Played,SNES/Super Famicom,RetroAchievements
"~Hack~ Baby's First Crudelo Sphere",2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Backwards Mario World,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Balloon Slider Mania,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Bandit Emblem,2 - Not Played,Game Boy Advance,RetroAchievements
~Hack~ Banjo-Dreamie,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Banjo-Kazooie Ft. Minecraft,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Banjo-Kazooie: Bubbling Bog Brewery Redone,2 - Not Played,Nintendo 64,RetroAchievements
"~Hack~ Banjo-Kazooie: Cheato's Challenges",2 - Not Played,Nintendo 64,RetroAchievements
"~Hack~ Banjo-Kazooie: Gruntilda's Mask",2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Banjo-Kazooie: Gruntylvania,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Banjo-Kazooie: How The Grunch Stole Christmas,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Banjo-Kazooie: The Cave of Dreams,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Banjo-Kongzooie,2 - Not Played,Nintendo 64,RetroAchievements
~Hack~ Baron of Shell,2 - Not Played,SNES/Super Famicom,RetroAchievements
~Hack~ Bases and Bandits,2 - Not Played,Game Boy Advance,RetroAchievements
"~Hack~ Battle of Olympus, The: Item Randomizer",2 - Not Played,NES/Famicom,RetroAchievements
"~Hack~ Battle of Olympus, The: Item Randomizer [Subset - Bonus]",2 - Not Played,NES/Famicom,RetroAchievements
